Node,Qubit,Timestamp
Node1,1,1587584903.6775901
Node2,1,1587584904.091203
Node3,1,1587584904.5032582
Node4,0,1587584904.9155169
Node5,0,1587584905.3270028
Node6,0,1587584905.7447639
Node7,0,1587584906.1448908
Node8,0,1587584906.5560682
Node9,1,1587584906.9617631
Node1,0,1587585029.636246
Node2,0,1587585030.047549
Node3,1,1587585030.4591649
Node4,0,1587585030.8666828
Node5,1,1587585031.271543
Node6,1,1587585031.681834
Node7,1,1587585032.0886688
Node8,0,1587585032.506222
Node9,1,1587585032.913533
Node1,1,1587585066.6288278
Node2,0,1587585067.039426
Node3,0,1587585067.4537559
Node4,1,1587585067.923865
Node5,0,1587585068.331479
Node6,0,1587585068.743427
Node7,1,1587585069.160204
Node8,1,1587585069.575958
Node9,0,1587585069.988023
Node1,1,1587585072.103572
Node2,0,1587585072.517778
Node3,0,1587585072.933863
Node4,1,1587585073.34226
Node5,1,1587585073.7528121
Node6,1,1587585074.161233
Node7,1,1587585074.569948
Node8,0,1587585074.9761899
Node9,1,1587585075.389449
Node1,1,1587585214.188145
Node2,1,1587585214.5921972
Node3,1,1587585215.004538
Node4,0,1587585215.4044118
Node5,0,1587585215.812323
Node6,1,1587585216.22501
Node7,0,1587585216.633749
Node8,1,1587585217.041613
Node9,1,1587585217.453044
Node1,1,1587585265.330684
Node2,0,1587585265.7401369
Node3,1,1587585266.15121
Node4,0,1587585266.561553
Node5,1,1587585266.9699378
Node6,0,1587585267.37972
Node7,1,1587585267.794278
Node8,1,1587585268.20722
Node9,0,1587585268.61777
Node1,0,1587585295.889378
Node2,0,1587585296.298434
Node3,0,1587585296.70776
Node4,0,1587585297.117811
Node5,0,1587585297.522845
Node6,0,1587585297.928517
Node7,1,1587585298.338113
Node8,1,1587585298.7488372
Node9,0,1587585299.160477
