1st Node,2nd Node,Step,Timestamp
Node0,Node2,s1,1589500262.433155,0,0
Node0,Node2,s2,1589500262.437373,1,1
Node2,Node0,s3,1589500262.525541,0,0
Node2,Node0,s4,1589500262.5265229,1,1
Node2,Node3,s1,1589500262.558808,0,0
Node2,Node3,s2,1589500262.5629282,1,1
Node3,Node2,s3,1589500262.6351721,0,0
Node3,Node2,s4,1589500262.638007,1,1
Node0,Node2,s1,1589500265.5530748,0,0
Node0,Node2,s2,1589500265.557652,1,1
Node2,Node0,s3,1589500265.656053,0,0
Node2,Node0,s4,1589500265.657629,1,1
Node2,Node3,s1,1589500265.688568,0,0
Node2,Node3,s2,1589500265.692568,1,1
Node3,Node2,s3,1589500265.752811,0,0
Node3,Node2,s4,1589500265.754453,1,1
Node0,Node2,s1,1589500267.611518,0,0
Node0,Node2,s2,1589500267.6150022,0,1
Node2,Node0,s3,1589500267.707276,0,0
Node2,Node0,s4,1589500267.708404,0,1
Node2,Node3,s1,1589500267.736608,0,0
Node2,Node3,s2,1589500267.7409532,0,1
Node3,Node2,s3,1589500267.8132532,0,0
Node3,Node2,s4,1589500267.814373,0,1
Node0,Node2,s1,1589500269.7973819,0,0
Node0,Node2,s2,1589500269.800805,1,0
Node2,Node0,s3,1589500269.894092,0,0
Node2,Node0,s4,1589500269.895852,1,0
Node2,Node3,s1,1589500269.928751,0,0
Node2,Node3,s2,1589500269.931873,1,0
Node3,Node2,s3,1589500269.9928021,0,0
Node3,Node2,s4,1589500269.994113,1,0
Node0,Node2,s1,1589500271.7326798,0,0
Node0,Node2,s2,1589500271.736161,0,1
Node2,Node0,s3,1589500271.831146,0,0
Node2,Node0,s4,1589500271.8327281,0,1
Node2,Node3,s1,1589500271.865612,0,0
Node2,Node3,s2,1589500271.869693,0,1
Node3,Node2,s3,1589500271.9272032,0,0
Node3,Node2,s4,1589500271.929284,0,1
Node0,Node2,s1,1589500273.494547,0,0
Node0,Node2,s2,1589500273.500277,1,1
Node2,Node0,s3,1589500273.593787,0,0
Node2,Node0,s4,1589500273.5956469,1,1
Node2,Node3,s1,1589500273.626387,0,0
Node2,Node3,s2,1589500273.630282,1,1
Node3,Node2,s3,1589500273.697818,0,0
Node3,Node2,s4,1589500273.699269,1,1
Node0,Node2,s1,1589500275.406324,0,0
Node0,Node2,s2,1589500275.4098308,1,0
Node2,Node0,s3,1589500275.4937758,0,0
Node2,Node0,s4,1589500275.49537,1,0
Node2,Node3,s1,1589500275.533539,0,0
Node2,Node3,s2,1589500275.536789,1,0
Node3,Node2,s3,1589500275.605154,0,0
Node3,Node2,s4,1589500275.606588,1,0
Node0,Node2,s1,1589500277.156373,0,0
Node0,Node2,s2,1589500277.1603498,0,1
Node2,Node0,s3,1589500277.251602,0,0
Node2,Node0,s4,1589500277.25295,0,1
Node2,Node3,s1,1589500277.281127,0,0
Node2,Node3,s2,1589500277.2843132,0,1
Node3,Node2,s3,1589500277.354877,0,0
Node3,Node2,s4,1589500277.35587,0,1
Node0,Node2,s1,1589500278.952348,0,0
Node0,Node2,s2,1589500278.957064,1,1
Node2,Node0,s3,1589500279.051452,0,0
Node2,Node0,s4,1589500279.052758,1,1
Node2,Node3,s1,1589500279.081106,0,0
Node2,Node3,s2,1589500279.0850592,1,1
Node3,Node2,s3,1589500279.1524029,0,0
Node3,Node2,s4,1589500279.1536498,1,1
Node0,Node2,s1,1589500280.868659,0,0
Node0,Node2,s2,1589500280.8731022,1,1
Node2,Node0,s3,1589500280.965921,0,0
Node2,Node0,s4,1589500280.967401,1,1
Node2,Node3,s1,1589500280.997486,0,0
Node2,Node3,s2,1589500281.001343,1,1
Node3,Node2,s3,1589500281.069932,0,0
Node3,Node2,s4,1589500281.0713758,1,1
