Node 1, Node 2, Step, Timestamp
Node0,Node2,1,1589492763.914997
Node0,Node2,2,1589492764.0227551
Node2,Node0,3,1589492764.013332
Node2,Node0,4,1589492764.023081
Node2,Node3,1,1589492764.0325792
Node2,Node3,2,1589492764.152961
Node3,Node2,3,1589492764.113858
Node3,Node2,4,1589492764.153072
Node0,Node2,1,1589492772.428304
Node0,Node2,2,1589492772.540288
Node2,Node0,3,1589492772.522662
Node2,Node0,4,1589492772.540452
Node2,Node3,1,1589492772.556745
Node2,Node3,2,1589492772.6759381
Node3,Node2,3,1589492772.6276639
Node3,Node2,4,1589492772.676548
Node0,Node2,1,1589492774.999098
Node0,Node2,2,1589492775.1105769
Node2,Node0,3,1589492775.0991402
Node2,Node0,4,1589492775.11094
Node2,Node3,1,1589492775.12033
Node2,Node3,2,1589492775.240146
Node3,Node2,3,1589492775.202383
Node3,Node2,4,1589492775.2402802
Node0,Node2,1,1589492777.517356
Node0,Node2,2,1589492777.629178
Node2,Node0,3,1589492777.611773
Node2,Node0,4,1589492777.629647
Node2,Node3,1,1589492777.646612
Node2,Node3,2,1589492777.765708
Node3,Node2,3,1589492777.714886
Node3,Node2,4,1589492777.7663438
Node0,Node2,1,1589492780.915191
Node0,Node2,2,1589492781.025911
Node2,Node0,3,1589492781.009623
Node2,Node0,4,1589492781.026168
Node2,Node3,1,1589492781.0432131
Node2,Node3,2,1589492781.1598148
Node3,Node2,3,1589492781.120359
Node3,Node2,4,1589492781.15998
Node0,Node2,1,1589492811.065876
Node0,Node2,2,1589492811.177871
Node2,Node0,3,1589492811.160337
Node2,Node0,4,1589492811.178045
Node2,Node3,1,1589492811.193963
Node2,Node3,2,1589492811.310422
Node3,Node2,3,1589492811.2687309
Node3,Node2,4,1589492811.3105762
Node0,Node2,1,1589492813.707223
Node0,Node2,2,1589492813.819278
Node2,Node0,3,1589492813.800767
Node2,Node0,4,1589492813.8193731
Node2,Node3,1,1589492813.829014
Node2,Node3,2,1589492813.948014
Node3,Node2,3,1589492813.908622
Node3,Node2,4,1589492813.948137
Node0,Node2,1,1589492816.2835321
Node0,Node2,2,1589492816.39828
Node2,Node0,3,1589492816.379085
Node2,Node0,4,1589492816.398423
Node2,Node3,1,1589492816.411746
Node2,Node3,2,1589492816.5285451
Node3,Node2,3,1589492816.4914649
Node3,Node2,4,1589492816.52915
Node0,Node2,1,1589492818.520718
Node0,Node2,2,1589492818.6328409
Node2,Node0,3,1589492818.615257
Node2,Node0,4,1589492818.6330519
Node2,Node3,1,1589492818.6460512
Node2,Node3,2,1589492818.765898
Node3,Node2,3,1589492818.7186491
Node3,Node2,4,1589492818.7664378
Node0,Node2,1,1589492820.974111
Node0,Node2,2,1589492821.0861871
Node2,Node0,3,1589492821.068795
Node2,Node0,4,1589492821.086598
Node2,Node3,1,1589492821.10257
Node2,Node3,2,1589492821.21906
Node3,Node2,3,1589492821.17102
Node3,Node2,4,1589492821.21931
Node0,Node2,1,1589492876.8342028
Node0,Node2,2,1589492876.9474912
Node2,Node0,3,1589492876.940191
Node2,Node0,4,1589492876.947778
Node2,Node3,1,1589492876.963752
Node2,Node3,2,1589492877.081623
Node3,Node2,3,1589492877.034121
Node3,Node2,4,1589492877.082009
Node0,Node2,1,1589492880.3377101
Node0,Node2,2,1589492880.444563
Node2,Node0,3,1589492880.4326248
Node2,Node0,4,1589492880.4448042
Node2,Node3,1,1589492880.454546
Node2,Node3,2,1589492880.574652
Node3,Node2,3,1589492880.534483
Node3,Node2,4,1589492880.5748749
Node0,Node2,1,1589492888.079149
Node0,Node2,2,1589492888.188011
Node2,Node0,3,1589492888.1764102
Node2,Node0,4,1589492888.1882188
Node2,Node3,1,1589492888.204288
Node2,Node3,2,1589492888.321193
Node3,Node2,3,1589492888.278622
Node3,Node2,4,1589492888.321441
Node0,Node2,1,1589492893.22541
Node0,Node2,2,1589492893.3367438
Node2,Node0,3,1589492893.3132641
Node2,Node0,4,1589492893.336821
Node2,Node3,1,1589492893.3499389
Node2,Node3,2,1589492893.464732
Node3,Node2,3,1589492893.424968
Node3,Node2,4,1589492893.4650722
Node0,Node2,1,1589492903.097216
Node0,Node2,2,1589492903.208576
Node2,Node0,3,1589492903.191355
Node2,Node0,4,1589492903.208761
Node2,Node3,1,1589492903.218019
Node2,Node3,2,1589492903.3339891
Node3,Node2,3,1589492903.2938318
Node3,Node2,4,1589492903.334135
Node0,Node2,1,1589492919.009582
Node0,Node2,2,1589492919.1222
Node2,Node0,3,1589492919.113166
Node2,Node0,4,1589492919.122669
Node2,Node3,1,1589492919.1355698
Node2,Node3,2,1589492919.252654
Node3,Node2,3,1589492919.219619
Node3,Node2,4,1589492919.252877
Node0,Node2,1,1589492921.5395432
Node0,Node2,2,1589492921.64802
Node2,Node0,3,1589492921.642756
Node2,Node0,4,1589492921.648118
Node2,Node3,1,1589492921.665571
Node2,Node3,2,1589492921.784883
Node3,Node2,3,1589492921.736099
Node3,Node2,4,1589492921.784957
Node0,Node2,1,1589492924.491725
Node0,Node2,2,1589492924.6043022
Node2,Node0,3,1589492924.5897028
Node2,Node0,4,1589492924.604789
Node2,Node3,1,1589492924.6209521
Node2,Node3,2,1589492924.740693
Node3,Node2,3,1589492924.7034628
Node3,Node2,4,1589492924.740973
Node0,Node2,1,1589492927.195562
Node0,Node2,2,1589492927.307606
Node2,Node0,3,1589492927.294785
Node2,Node0,4,1589492927.3081422
Node2,Node3,1,1589492927.3212118
Node2,Node3,2,1589492927.438174
Node3,Node2,3,1589492927.396244
Node3,Node2,4,1589492927.43847
Node0,Node2,1,1589492930.1662998
Node0,Node2,2,1589492930.27892
Node2,Node0,3,1589492930.267175
Node2,Node0,4,1589492930.2790148
Node2,Node3,1,1589492930.2952251
Node2,Node3,2,1589492930.414474
Node3,Node2,3,1589492930.368777
Node3,Node2,4,1589492930.4150138
