Total,Actual
10,9
10,10
10,8
10,8
10,10
10,10
10,10
10,10
10,9
10,10
10,10
10,9
10,9
10,9
10,10
10,9
10,10
10,10
10,8
10,9
10,9
10,8
10,10
10,10
10,9
10,8
10,10
10,9
10,10
10,9
10,8
10,10
10,8
11,10
12,8
13,12
14,14
15,14
16,16
17,13
18,17
19,18
20,18
21,11
31,15
10,9
10,7
10,10
10,9
11,8
11,11
11,8
11,9
12,11
12,12
12,11
12,12
13,12
13,12
13,11
13,11
14,14
14,14
14,13
14,13
11,9
11,11
11,10
11,10
12,12
12,10
12,10
12,11
13,10
13,12
13,13
13,11
14,12
14,14
14,11
14,14
15,14
15,14
15,13
15,15
16,14
16,15
16,15
16,14
17,14
17,16
17,12
17,15
18,16
18,18
18,15
18,18
19,17
19,19
19,17
19,19
21,17
21,19
21,20
21,20
22,20
22,20
22,22
22,19
23,22
23,20
23,20
23,22
24,21
24,22
24,24
24,21
25,25
25,21
25,19
25,24
26,23
26,21
26,22
26,26
27,26
27,25
27,24
27,25
28,26
28,26
28,24
28,27
29,28
29,26
29,28
29,28
30,27
30,24
30,26
30,30
31,27
31,29
31,27
31,24
32,30
32,29
32,31
32,30
33,32
33,32
33,28
33,33
34,32
34,29
34,33
34,30
35,33
35,31
35,34
35,32
36,33
36,34
36,33
36,30
37,33
37,34
37,36
37,32
38,33
38,34
38,35
38,37
39,38
39,35
39,34
39,35
41,36
41,37
41,38
41,40
42,37
42,36
42,40
42,39
43,36
43,39
43,37
43,40
44,41
44,39
44,42
44,39
45,42
45,42
45,39
45,41
46,40
46,42
46,39
46,41
47,46
47,45
47,38
47,44
48,42
48,44
48,45
48,45
49,47
49,40
49,42
49,44
51,44
51,48
51,44
51,45
52,42
52,46
52,48
52,43
53,42
53,50
53,49
53,46
54,51
54,50
54,47
54,51
55,51
55,46
55,51
55,54
56,51
56,53
56,48
56,50
57,52
57,54
57,53
57,52
58,55
58,50
58,53
58,55
59,53
59,55
59,53
59,55
60,55
60,56
60,56
60,58
61,58
61,55
61,54
61,56
62,58
62,51
62,54
62,58
63,60
63,59
63,51
63,59
64,58
64,57
64,56
64,60
65,60
65,62
65,59
65,59
66,63
66,64
66,61
66,61
67,62
67,62
67,61
67,58
68,64
68,61
68,57
68,60
69,63
69,62
69,64
69,61
10,9
10,8
10,10
10,10
11,10
11,10
11,11
11,10
12,12
12,11
12,10
12,11
13,12
13,13
13,10
13,11
14,13
14,13
14,12
14,11
10,10
10,8
10,9
10,9
11,11
11,11
11,8
11,11
12,11
12,9
12,10
12,11
13,11
13,12
13,12
13,12
14,14
14,12
14,13
14,14
16,12
16,13
16,12
16,13
17,14
17,14
17,14
17,16
18,17
18,16
18,16
18,16
19,18
19,17
19,15
19,16
20,18
20,19
20,17
20,19
21,21
21,19
21,17
21,18
22,22
22,18
22,20
22,21
23,23
23,22
23,18
23,22
24,21
24,24
24,23
24,23
25,22
25,24
25,21
25,22
26,24
26,25
26,24
26,23
27,24
27,25
27,25
27,25
28,26
28,27
28,24
28,25
29,28
29,27
29,26
29,28
30,26
30,27
30,25
30,30
10,10
10,9
10,8
10,10
11,11
11,8
11,11
11,10
12,11
12,11
12,11
12,11
13,11
13,11
13,11
13,12
14,11
14,14
14,11
14,13
10,10
10,10
10,9
10,10
11,9
11,8
11,9
11,11
12,11
12,11
12,12
12,10
13,12
13,11
13,10
13,13
14,13
14,12
14,13
14,13
10,10
10,10
10,9
10,10
11,11
11,11
11,11
11,11
12,11
12,12
12,12
12,12
13,13
13,13
13,13
13,13
14,14
14,13
14,13
14,14
